shortPostcode,Year,Population
B36,2019,36708.260277540394
B36,2020,36914.28736706576
B36,2021,37114.54737603209
B36,2022,37297.150949122166
B36,2023,37465.36109990271
B36,2024,37623.464923744294
B36,2025,37773.95878343927
B37,2011,35728
B37,2012,35976.435767116105
B37,2013,36217.38454069127
B37,2014,36484.11253186857
B37,2015,36773.20078435165
B37,2016,37051.895493286764
B37,2017,37303.61661337324
B37,2018,37529.65009380255
B37,2019,37740.287277947784
B37,2020,37952.10667464319
B37,2021,38157.99685335313
B37,2022,38345.73419787163
B37,2023,38518.67345910403
B37,2024,38681.222261101444
B37,2025,38835.94715014585
B38,2011,21354
B38,2012,21502.485707876098
B38,2013,21646.496570810606
B38,2014,21805.91522070985
B38,2015,21978.69820726167
B38,2016,22145.26915482662
B38,2017,22295.718460646327
B38,2018,22430.814714035478
B38,2019,22556.708870725954
B38,2020,22683.30961515704
B38,2021,22806.366569819267
B38,2022,22918.57389334278
B38,2023,23021.936661601754
B38,2024,23119.08923431371
B38,2025,23211.565591250965
B4,2011,4683
B4,2012,4715.563387186652
B4,2013,4747.145426669761
B4,2014,4782.106442754717
B4,2015,4819.99830030001
B4,2016,4856.527837971952
B4,2017,4889.521848422158
B4,2018,4919.148885727645
B4,2019,4946.757874010004
B4,2020,4974.52181922733
B4,2021,5001.508600096638
B4,2022,5026.116022409114
B4,2023,5048.7838056701785
B4,2024,5070.089673330106
B4,2025,5090.370032023427
B42,2011,24367
B42,2012,24536.436697752968
B42,2013,24700.767160295123
B42,2014,24882.679412898608
B42,2015,25079.84167913951
B42,2016,25269.91540206332
B42,2017,25441.59275688719
B42,2018,25595.750779100046
B42,2019,25739.408310058032
B42,2020,25883.872126652215
B42,2021,26024.292132939303
B42,2022,26152.331650233366
B42,2023,26270.27866597592
B42,2024,26381.139241946334
B42,2025,26486.66379891412
B43,2011,28441
B43,2012,28638.765384363778
B43,2013,28830.570805021285
B43,2014,29042.89757386011
B43,2015,29273.024056978982
B43,2016,29494.876839581524
B43,2017,29695.25750394503
B43,2018,29875.18972004697
B43,2019,30042.865832739382
B43,2020,30211.483036652677
B43,2021,30375.38033212652
